中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,5 ms,35 Mbps,4540 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,5 ms,29 Mbps,3828 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,18 ms,62 Mbps,7974 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,552 Mbps,70758 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,87 ms,379 Mbps,48537 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,9 ms,49 Mbps,6349 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,5 ms,72 Mbps,9229 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,92 ms,280 Mbps,35840 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,76 ms,342 Mbps,43827 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,226 Mbps,28979 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,73 ms,330 Mbps,42291 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,64 ms,435 Mbps,55705 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,216 Mbps,27648 kB/s
130.61.23.77,443,130.61.23.77,DE,218 Mbps,27955 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,7 ms,63 Mbps,8150 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,79 ms,328 Mbps,41984 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,311 Mbps,39833 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,115 ms,20 Mbps,2566 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,87 ms,38 Mbps,4967 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,183 ms,260 Mbps,33382 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,71 ms,331 Mbps,42393 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,191 ms,123 Mbps,15769 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,98 ms,31 Mbps,4065 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,75 ms,459 Mbps,58777 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,99 ms,26 Mbps,3412 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,90 ms,10 Mbps,1338 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,128 ms,92 Mbps,11776 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,104 ms,48 Mbps,6261 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,132 ms,26 Mbps,3452 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,181 ms,86 Mbps,11059 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,202 ms,1 Mbps,160 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,101 Mbps,13004 kB/s
158.101.215.34,443,2a0b:21c0:1007:1c7:0:5bdf:28e8:62eb,DE,Frankfurt,隧道,99 ms,226 Mbps,28979 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,84 ms,308 Mbps,39424 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,129 ms,148 Mbps,19046 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,183 ms,45 Mbps,5803 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,230 ms,40 Mbps,5172 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,230 ms,66 Mbps,8505 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,179 ms,91 Mbps,11673 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,106 ms,19 Mbps,2508 kB/s
8.212.44.95,443,47.76.21.103,HK,Hong Kong,隧道,246 ms,24 Mbps,3100 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,234 ms,1 Mbps,252 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,190 ms,86 Mbps,11059 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,232 ms,85 Mbps,10956 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,195 ms,9 Mbps,1236 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,247 ms,9 Mbps,1261 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,234 ms,66 Mbps,8531 kB/s
132.145.242.62,443,2a0b:21c0:100a:1b3:0:ae42:aeb3:7a15,DE,Frankfurt,隧道,110 ms,220 Mbps,28160 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,77 ms,1 Mbps,181 kB/s
130.162.144.191,443,2a09:bac5:4753:155::22:133,KR,Seoul,隧道,221 ms,31 Mbps,4002 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,235 ms,67 Mbps,8654 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,245 ms,31 Mbps,4047 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,47 ms,44 Mbps,5670 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,226 ms,75 Mbps,9679 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,205 ms,85 Mbps,10956 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,242 ms,39 Mbps,5050 kB/s
193.123.230.164,443,130.162.140.114,KR,Seoul,隧道,215 ms,81 Mbps,10444 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,268 ms,63 Mbps,8111 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,248 ms,38 Mbps,4923 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,196 ms,42 Mbps,5443 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,212 ms,70 Mbps,8963 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,78 ms,291 Mbps,37273 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,248 Mbps,31744 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,205 ms,71 Mbps,9187 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,258 ms,57 Mbps,7417 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,98 ms,270 Mbps,34611 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,153 ms,154 Mbps,19763 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,128 ms,232 Mbps,29696 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,106 ms,437 Mbps,56012 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,84 ms,350 Mbps,44851 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,140 ms,236 Mbps,30310 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,23 ms,454 Mbps,58163 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,91 ms,6 Mbps,792 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,138 ms,37 Mbps,4746 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,86 ms,49 Mbps,6313 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,200 ms,22 Mbps,2883 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,68 ms,0 Mbps,54 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,68 ms,38 Mbps,4976 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,96 ms,115 Mbps,14745 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,82 ms,47 Mbps,6116 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,124 ms,41 Mbps,5316 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,275 ms,33 Mbps,4324 kB/s
143.47.187.224,443,2a0b:21c0:100a:1b5:0:4e1e:8cf4:cb35,DE,Frankfurt,隧道,131 ms,240 Mbps,30720 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,233 ms,30 Mbps,3946 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,257 ms,62 Mbps,7985 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,110 ms,268 Mbps,34406 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,246 ms,33 Mbps,4302 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,219 ms,66 Mbps,8546 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,245 ms,9 Mbps,1260 kB/s
168.138.194.74,443,168.138.194.74,JP,Tokyo,中转,260 ms,68 Mbps,8753 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,231 ms,40 Mbps,5132 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,226 ms,0 Mbps,119 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,283 ms,4 Mbps,621 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,241 ms,35 Mbps,4551 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,272 ms,9 Mbps,1201 kB/s
47.57.14.118,443,47.88.1.156,US,San Jose,隧道,267 ms,0 Mbps,30 kB/s
8.212.48.236,443,47.76.21.103,HK,Hong Kong,隧道,228 ms,29 Mbps,3750 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,0 ms,0 Mbps,16 kB/s
47.57.245.232,443,47.88.7.145,US,San Jose,隧道,230 ms,0 Mbps,28 kB/s
