中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,31 ms,778 Mbps,99635 kB/s
35.197.23.75,443,35.212.196.48,US,Seattle,隧道,53 ms,512 Mbps,65638 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,24 ms,788 Mbps,100966 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,61 ms,445 Mbps,57036 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,47 ms,399 Mbps,51097 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,59 ms,553 Mbps,70860 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,56 ms,434 Mbps,55603 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,83 ms,385 Mbps,49356 kB/s
35.230.79.26,443,35.212.196.48,US,Seattle,隧道,72 ms,518 Mbps,66355 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,70 Mbps,9059 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,67 ms,420 Mbps,53862 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,60 ms,452 Mbps,57958 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,22 ms,61 Mbps,7832 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,66 ms,410 Mbps,52531 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,18 ms,8 Mbps,1063 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,62 ms,57 Mbps,7362 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,106 ms,180 Mbps,23040 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,117 ms,167 Mbps,21401 kB/s
168.138.149.17,443,168.138.149.17,BR,S
