中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
3.144.191.4,443,3.144.191.4,US,Chicago,中转,45 ms,754 Mbps,96563 kB/s,96563.0
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,65 ms,684 Mbps,87552 kB/s,87552.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,556 Mbps,71168 kB/s,71168.0
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,49 ms,471 Mbps,60313 kB/s,60313.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,81 ms,358 Mbps,45875 kB/s,45875.0
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,67 ms,337 Mbps,43212 kB/s,43212.0
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,67 ms,321 Mbps,41164 kB/s,41164.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,65 ms,320 Mbps,41062 kB/s,41062.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,128 ms,315 Mbps,40345 kB/s,40345.0
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,67 ms,312 Mbps,40038 kB/s,40038.0
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,64 ms,302 Mbps,38707 kB/s,38707.0
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,292 Mbps,37478 kB/s,37478.0
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,69 ms,291 Mbps,37273 kB/s,37273.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,288 Mbps,36966 kB/s,36966.0
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,132 ms,288 Mbps,36864 kB/s,36864.0
165.1.74.145,443,165.1.74.145,US,San Jose,中转,80 ms,284 Mbps,36454 kB/s,36454.0
152.70.117.174,443,152.70.117.174,US,San Jose,中转,73 ms,284 Mbps,36352 kB/s,36352.0
