中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.144.191.4,443,3.144.191.4,US,Columbus,中转,24 ms,579 Mbps,74137 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,26 ms,240 Mbps,30720 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,240 Mbps,30720 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,536 Mbps,68710 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,16 ms,602 Mbps,77107 kB/s
35.230.79.26,443,34.168.81.122,US,Seattle,隧道,68 ms,330 Mbps,42291 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,148 ms,570 Mbps,73011 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,21 ms,78 Mbps,10035 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,109 ms,318 Mbps,40755 kB/s
43.153.80.208,443,43.153.80.208,US,25 Mbps,3276 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,286 Mbps,36659 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,74 Mbps,9480 kB/s
130.61.23.77,443,130.61.23.77,DE,127 Mbps,16281 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,88 ms,218 Mbps,27955 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,90 ms,61 Mbps,7856 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,93 ms,7 Mbps,973 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,15 ms,77 Mbps,9919 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,226 Mbps,28979 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,70 ms,303 Mbps,38809 kB/s
138.3.254.39,443,138.3.254.39,DE,211 Mbps,27033 kB/s
35.197.23.75,443,34.168.81.122,US,Seattle,隧道,83 ms,211 Mbps,27033 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,71 ms,296 Mbps,37888 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,205 Mbps,26316 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,185 ms,193 Mbps,24780 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,69 ms,316 Mbps,40550 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,91 ms,12 Mbps,1603 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,109 ms,51 Mbps,6587 kB/s
130.162.166.152,443,2a0b:21c0:100a:1b1:0:79ab:7c72:6085,DE,Frankfurt,隧道,97 ms,128 Mbps,16486 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,74 ms,289 Mbps,37068 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,97 Mbps,12492 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,80 ms,48 Mbps,6203 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,240 Mbps,30720 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,101 ms,226 Mbps,28979 kB/s
152.67.44.30,443,152.67.44.30,BR,São Paulo,中转,116 ms,43 Mbps,5532 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,102 ms,50 Mbps,6428 kB/s
