中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,1016 Mbps,130048 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,108 ms,170 Mbps,21811 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,54 ms,45 Mbps,5873 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,10 ms,488 Mbps,62566 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,52 ms,439 Mbps,56217 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,51 ms,406 Mbps,52019 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,98 ms,528 Mbps,67686 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,51 ms,448 Mbps,57344 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,67 ms,237 Mbps,30412 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,50 ms,470 Mbps,60211 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,21 ms,61 Mbps,7846 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,43 Mbps,5599 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,70 ms,186 Mbps,23859 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,67 ms,382 Mbps,48947 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,96 ms,69 Mbps,8859 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,38 ms,59 Mbps,7664 kB/s
193.122.197.111,443,193.122.197.111,300 Mbps,38400 kB/s
193.122.197.111,,,隧道,0 ms,null Mbps,null kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,105 ms,200 Mbps,25702 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,53 ms,52 Mbps,6670 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,416 Mbps,53350 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,59 ms,452 Mbps,57856 kB/s
150.136.169.72,443,150.136.169.72,US,Ashburn,中转,41 ms,367 Mbps,47001 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,108 Mbps,13824 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,298 Mbps,38195 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,100 ms,12 Mbps,1628 kB/s
150.136.121.64,443,2603:c020:4012:4388:c5e:f6e5:73e6:1535,US,Ashburn,隧道,57 ms,66 Mbps,8535 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,184 Mbps,23654 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,115 ms,355 Mbps,45465 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,80 ms,62 Mbps,8027 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,106 ms,183 Mbps,23449 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,204 ms,119 Mbps,15257 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,174 ms,166 Mbps,21299 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,140 ms,138 Mbps,17715 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,104 ms,41 Mbps,5324 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,105 ms,42 Mbps,5475 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,175 ms,103 Mbps,13209 kB/s
152.70.112.158,443,152.70.112.158,US,San Jose,中转,80 ms,47 Mbps,6038 kB/s
158.101.209.150,443,163.123.193.23,DE,Frankfurt,隧道,134 ms,96 Mbps,12288 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,100 ms,44 Mbps,5708 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,116 ms,41 Mbps,5271 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,9 Mbps,1246 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,169 Mbps,21708 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,61 ms,23 Mbps,2960 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,202 ms,42 Mbps,5417 kB/s
152.70.249.67,443,2603:c022:8002:8700:556:6ae2:e4b0:4241,KR,Seoul,隧道,165 ms,104 Mbps,13312 kB/s
138.2.94.123,443,138.2.94.123,SG,Singapore,中转,212 ms,62 Mbps,8007 kB/s
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,170 ms,39 Mbps,5069 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,194 ms,34 Mbps,4401 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,213 ms,0 Mbps,4 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,216 ms,34 Mbps,4393 kB/s
64.110.103.69,443,64.110.103.69,,colo.txt:Osaka,中转,0 ms,33 Mbps,4292 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,189 ms,38 Mbps,4906 kB/s
152.70.173.194,443,2606:f240:f00:6acf:0:aafe:9314:1876,US,Frankfurt,隧道,171 ms,159 Mbps,20377 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,28 ms,762 Mbps,97587 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,229 ms,33 Mbps,4351 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,196 ms,64 Mbps,8234 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,170 ms,37 Mbps,4800 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,144 ms,30 Mbps,3880 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,218 ms,8 Mbps,1099 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,170 ms,37 Mbps,4842 kB/s
141.147.150.15,443,2603:c023:6:8588:7ab1:3280:e677:3b28,JP,Osaka,隧道,196 ms,50 Mbps,6505 kB/s
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,172 ms,103 Mbps,13209 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,210 ms,2 Mbps,355 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,213 ms,7 Mbps,919 kB/s
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,215 ms,41 Mbps,5257 kB/s
140.238.49.181,443,2603:c021:8003:3d64:2a8:3763:7559:b922,JP,Tokyo,隧道,216 ms,66 Mbps,8537 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,58 ms,359 Mbps,45977 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,218 ms,66 Mbps,8541 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,61 ms,356 Mbps,45568 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,42 ms,1200 Mbps,153600 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,9 ms,544 Mbps,69632 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,107 ms,174 Mbps,22323 kB/s
54.203.85.46,443,204.110.220.169,US,,隧道,62 ms,228 Mbps,29286 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,166 Mbps,21299 kB/s
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,170 ms,86 Mbps,11059 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,110 ms,156 Mbps,20070 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,210 ms,90 Mbps,11571 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,105 ms,67 Mbps,8622 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,207 ms,79 Mbps,10137 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,110 ms,195 Mbps,24985 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,109 ms,190 Mbps,24371 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,108 ms,199 Mbps,25497 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,109 ms,188 Mbps,24064 kB/s
129.153.126.67,443,2a09:bac5:60ef:183c::26a:a4,US,Los Angeles,隧道,52 ms,42 Mbps,5377 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,14 ms,81 Mbps,10444 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,108 ms,180 Mbps,23040 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,100 ms,192 Mbps,24576 kB/s
140.238.40.67,443,140.238.40.67,JP,Tokyo,中转,218 ms,32 Mbps,4147 kB/s
141.148.191.31,443,104.28.205.112,US,Los Angeles,隧道,75 ms,14 Mbps,1849 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,83 ms,131 Mbps,16793 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,106 ms,80 Mbps,10240 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,63 ms,34 Mbps,4388 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::1bd:c5,US,Los Angeles,隧道,54 ms,45 Mbps,5784 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,117 ms,46 Mbps,5974 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,104 ms,39 Mbps,5042 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,105 ms,160 Mbps,20582 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,198 ms,34 Mbps,4360 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,160 ms,39 Mbps,5034 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,167 ms,105 Mbps,13516 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,196 ms,80 Mbps,10240 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,194 ms,83 Mbps,10649 kB/s
64.110.101.31,443,2a09:bac5:4563:174b::252:36,JP,Osaka,隧道,197 ms,34 Mbps,4475 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,167 ms,96 Mbps,12390 kB/s
152.70.234.188,443,152.70.234.188,KR,Seoul,中转,165 ms,38 Mbps,4888 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,230 ms,31 Mbps,4046 kB/s
129.151.148.35,443,2a09:bac1:220:8::3c:14,AE,Dubai,隧道,207 ms,31 Mbps,4077 kB/s
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,219 ms,55 Mbps,7117 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,171 ms,85 Mbps,10956 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,216 ms,68 Mbps,8775 kB/s
64.110.98.49,443,104.28.206.113,JP,Osaka,隧道,202 ms,33 Mbps,4337 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,203 ms,33 Mbps,4286 kB/s
150.230.149.208,443,150.230.149.208,DE,,中转,109 ms,72 Mbps,9236 kB/s
103.137.63.2,443,61.224.122.234,TW,,隧道,173 ms,86 Mbps,11059 kB/s
193.123.81.105,443,193.123.81.105,AE,Paris,中转,204 ms,34 Mbps,4383 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,168 ms,91 Mbps,11673 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,112 ms,60 Mbps,7781 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,62 ms,144 Mbps,18534 kB/s
193.123.69.77,443,193.123.69.77,AE,,中转,272 ms,32 Mbps,4200 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,217 ms,63 Mbps,8171 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,222 ms,57 Mbps,7323 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,108 ms,194 Mbps,24883 kB/s
