中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.183.163.195,443,15.222.65.126,CA,,隧道,23 ms,800 Mbps,102400 kB/s,102400.0
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,71 ms,798 Mbps,102195 kB/s,102195.0
3.144.191.4,443,3.144.191.4,US,Columbus,中转,24 ms,676 Mbps,86528 kB/s,86528.0
34.69.150.180,443,34.69.150.180,US,,中转,32 ms,552 Mbps,70758 kB/s,70758.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,85 ms,540 Mbps,69222 kB/s,69222.0
3.138.59.154,443,3.130.64.226,US,,隧道,104 ms,434 Mbps,55603 kB/s,55603.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,42 ms,346 Mbps,44339 kB/s,44339.0
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,66 ms,346 Mbps,44339 kB/s,44339.0
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,65 ms,343 Mbps,43929 kB/s,43929.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,336 Mbps,43008 kB/s,43008.0
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,10 ms,320 Mbps,41062 kB/s,41062.0
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,70 ms,305 Mbps,39116 kB/s,39116.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,304 Mbps,39014 kB/s,39014.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,85 ms,292 Mbps,37376 kB/s,37376.0
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,71 ms,285 Mbps,36556 kB/s,36556.0
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,75 ms,281 Mbps,36044 kB/s,36044.0
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,80 ms,273 Mbps,35020 kB/s,35020.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,271 Mbps,34713 kB/s,34713.0
192.9.250.241,443,192.9.250.241,US,,中转,79 ms,260 Mbps,33382 kB/s,33382.0
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,250 Mbps,32051 kB/s,32051.0
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,91 ms,249 Mbps,31948 kB/s,31948.0
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,91 ms,248 Mbps,31744 kB/s,31744.0
44.224.24.91,443,44.224.24.91,US,,中转,87 ms,247 Mbps,31641 kB/s,31641.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,247 Mbps,31641 kB/s,31641.0
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,89 ms,246 Mbps,31539 kB/s,31539.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,243 Mbps,31129 kB/s,31129.0
18.191.122.211,443,3.130.64.226,US,,隧道,27 ms,239 Mbps,30617 kB/s,30617.0
204.110.220.3,443,204.110.220.206,US,,隧道,84 ms,235 Mbps,30105 kB/s,30105.0
192.18.134.231,443,192.18.134.231,US,San Jose,中转,74 ms,230 Mbps,29491 kB/s,29491.0
18.159.105.97,443,3.68.128.205,DE,,隧道,91 ms,228 Mbps,29184 kB/s,29184.0
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,88 ms,226 Mbps,28979 kB/s,28979.0
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,84 ms,225 Mbps,28876 kB/s,28876.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,75 ms,224 Mbps,28672 kB/s,28672.0
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,90 ms,222 Mbps,28467 kB/s,28467.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,220 Mbps,28160 kB/s,28160.0
35.157.240.237,443,3.68.128.205,DE,,隧道,93 ms,219 Mbps,28057 kB/s,28057.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,217 Mbps,27852 kB/s,27852.0
3.67.232.136,443,3.68.128.205,DE,,隧道,92 ms,212 Mbps,27136 kB/s,27136.0
54.203.85.46,443,204.110.220.69,US,,隧道,109 ms,205 Mbps,26316 kB/s,26316.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,103 ms,192 Mbps,24576 kB/s,24576.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,181 Mbps,23244 kB/s,23244.0
